internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
137765,Dichotomius nutans,"Pinotus nutans Harold, 1867",Pinotus,nutans,"Harold, 1867",,
137810,Versicorpus streyi,"Namakwanus streyi Frolov, 2005",Namakwanus,streyi,"Frolov, 2005",,
137817,Proagoderus plato,"Onthophagus plato Bates, 1888",Onthophagus,plato,"Bates, 1888",,
137826,Paraixodina freyi,"Drepanocerus freyi Janssens, 1953",Drepanocerus,freyi,"Janssens, 1953",,
137826,Paraixodina freyi,"Ixodina freyi (Janssens, 1953)",Ixodina,freyi,"(Janssens, 1953)",,
137831,Onitis dispar,"Onitis plecopygus Gillet, 1932",Onitis,plecopygus,"Gillet, 1932",,
137849,Thyregis tarsatus,"Arrowianella tarsatus Paulian, 1933",Arrowianella,tarsatus,"Paulian, 1933",,
137852,Canthon nigellus,"Scybalocanthon nigellus (Schmidt, 1922)",Scybalocanthon,nigellus,"(Schmidt, 1922)",,
137867,Canthidium viridicolle,"Choeridium viridicolle Blanchard, 1846",Choeridium,viridicolle,"Blanchard, 1846",,
137879,Ateuchus laevicolle,"Choeridium laevicolle Harold, 1868",Choeridium,laevicolle,"Harold, 1868",,
137880,Kheper asceticus,"Scarabaeus asceticus Gillet, 1907",Scarabaeus,asceticus,"Gillet, 1907",,
