assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
2495399,197670,Paracaridina chenxiensis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Paracaridina,chenxiensis,,,,"Guo &amp; De Grave, 2004",Data Deficient,D2,3.1,Unknown,Global
2495928,197682,Caridina rouxi,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,rouxi,,,,"De Man, 1915",Data Deficient,,3.1,Unknown,Global
2496019,197684,Caridina zhongshanica,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,zhongshanica,,,,"Liang, 2004",Data Deficient,,3.1,Unknown,Global
2496298,197694,Caridina oligospina,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,oligospina,,,,"Liang, Guo &amp; Tang, 1999",Data Deficient,,3.1,Unknown,Global
2496658,197703,Macrobrachium hildebrandti,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Macrobrachium,hildebrandti,,,,"(Hilgendorf, 1893)",Data Deficient,,3.1,Unknown,Global
2496827,197707,Macrobrachium fukienense,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Macrobrachium,fukienense,,,,"Liang &amp; Yan, 1980",Data Deficient,,3.1,Unknown,Global
2496842,197708,Parisia macrophthalma,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Parisia,macrophthalma,,,,"Holthuis, 1956",Data Deficient,,3.1,Unknown,Global
2496872,197710,Caridina crurispinata,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,crurispinata,,,,"Gurney, 1984",Data Deficient,,3.1,Unknown,Global
2496887,197711,Caridina huananensis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,huananensis,,,,"Liang, 2004",Data Deficient,,3.1,Unknown,Global
2496917,197713,Macrobrachium madhusoodani,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Macrobrachium,madhusoodani,,,,"Unnikrishnan, P.M. Pillai &amp; Jayachandran, 2011",Data Deficient,,3.1,Unknown,Global
2497387,197721,Exopalaemon mani,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Exopalaemon,mani,,,,"(Sollaud, 1914)",Data Deficient,,3.1,Unknown,Global
2497803,197731,Caridina minnanica,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,minnanica,,,,"Liang, 2002",Data Deficient,,3.1,Unknown,Global
2497818,197732,Caridina longiacuta,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,longiacuta,,,,"Guo &amp; X. Wang, 2005",Data Deficient,,3.1,Unknown,Global
2497971,197735,Neocaridina ketagalan,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Neocaridina,ketagalan,,,,"Shih &amp; Cai, 2007",Data Deficient,,3.1,Unknown,Global
2498127,197738,Caridina congoensis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,congoensis,,,,"Richard &amp; Clark, 2009",Data Deficient,,3.1,Unknown,Global
2498217,197744,Palaemonetes turcorum,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Palaemonetes,turcorum,,,,"Holthuis, 1961",Data Deficient,,3.1,Unknown,Global
2498446,197751,Caridina liangi,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,liangi,,,,"Jiang, Guo &amp; Zhang, 2002",Data Deficient,,3.1,Unknown,Global
2498666,197756,Caridina rubropunctata,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,rubropunctata,,,,"Đăng &amp; Ðỗ, 2007",Data Deficient,,3.1,Unknown,Global
2498862,197760,Macrobrachium insulare,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Macrobrachium,insulare,,,,"(Parisi, 1919)",Data Deficient,,3.1,Unknown,Global
2498959,197762,Neocaridina xiapuensis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Neocaridina,xiapuensis,,,,"Zheng, 2002",Data Deficient,,3.1,Unknown,Global
2499045,197764,Caridina laevis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,laevis,,,,"Heller, 1862",Data Deficient,,3.1,Unknown,Global
